modelo_id,modelo,comparacao,grupo1,grupo2,U,p_bruto,p_holm,resultado
LLM01,GPT-5.6-Sol,Facil x Medio,Facil,Medio,,,,NA_GRUPOS_IDENTICOS
LLM01,GPT-5.6-Sol,Facil x Dificil,Facil,Dificil,85.0,0.001616772830620606,0.003233545661241212,SIGNIFICATIVO
LLM01,GPT-5.6-Sol,Medio x Dificil,Medio,Dificil,85.0,0.001616772830620606,0.003233545661241212,SIGNIFICATIVO
LLM02,DeepSeek-V4-Pro,Facil x Medio,Facil,Medio,60.0,0.16807831903497028,0.16807831903497028,NAO_SIGNIFICATIVO
LLM02,DeepSeek-V4-Pro,Facil x Dificil,Facil,Dificil,90.0,0.00044051921287451397,0.001321557638623542,SIGNIFICATIVO
LLM02,DeepSeek-V4-Pro,Medio x Dificil,Medio,Dificil,88.0,0.0016647955621899835,0.003329591124379967,SIGNIFICATIVO
LLM03,Claude-Sonnet-5,Facil x Medio,Facil,Medio,,,,NA_GRUPOS_IDENTICOS
LLM03,Claude-Sonnet-5,Facil x Dificil,Facil,Dificil,95.0,9.660519008211227e-05,0.00019321038016422454,SIGNIFICATIVO
LLM03,Claude-Sonnet-5,Medio x Dificil,Medio,Dificil,95.0,9.660519008211227e-05,0.00019321038016422454,SIGNIFICATIVO
