"tarefa","modelo_id","modelo","compilou","C_0_100","checks_aprovados","checks_executados","F_0_100","resultado_funcional","flash_bytes","flash_percentual","ram_bytes","ram_percentual"
"T01","LLM01","GPT-5.6-Sol","1","100","15","15","100","PASS","281660","21","22092","6"
"T01","LLM02","DeepSeek-V4-Pro","1","100","15","15","100","PASS","281660","21","22092","6"
"T01","LLM03","Claude-Sonnet-5","1","100","15","15","100","PASS","281660","21","22092","6"
"T02","LLM01","GPT-5.6-Sol","1","100","19","19","100","PASS","281724","21","22092","6"
"T02","LLM02","DeepSeek-V4-Pro","1","100","19","19","100","PASS","282080","21","22092","6"
"T02","LLM03","Claude-Sonnet-5","1","100","19","19","100","PASS","281724","21","22092","6"
"T03","LLM01","GPT-5.6-Sol","1","100","6","6","100","PASS","281524","21","22092","6"
"T03","LLM02","DeepSeek-V4-Pro","0","0","6","6","100","PASS","","","",""
"T03","LLM03","Claude-Sonnet-5","1","100","6","6","100","PASS","281524","21","22092","6"
