modelo_id,modelo,comparacao,grupo1,grupo2,U,p_bruto,p_holm,resultado
LLM01,GPT-5.6-Sol,Facil x Medio,Facil,Medio,,,,NA_GRUPOS_IDENTICOS
LLM01,GPT-5.6-Sol,Facil x Dificil,Facil,Dificil,85.0,0.0016167728306206,0.0032335456612412,SIGNIFICATIVO
LLM01,GPT-5.6-Sol,Medio x Dificil,Medio,Dificil,85.0,0.0016167728306206,0.0032335456612412,SIGNIFICATIVO
LLM02,DeepSeek-V4-Pro,Facil x Medio,Facil,Medio,60.0,0.1680783190349702,0.1680783190349702,NAO_SIGNIFICATIVO
LLM02,DeepSeek-V4-Pro,Facil x Dificil,Facil,Dificil,90.0,0.0004405192128745,0.0013215576386235,SIGNIFICATIVO
LLM02,DeepSeek-V4-Pro,Medio x Dificil,Medio,Dificil,88.0,0.0016647955621899,0.0033295911243799,SIGNIFICATIVO
LLM03,Claude-Sonnet-5,Facil x Medio,Facil,Medio,,,,NA_GRUPOS_IDENTICOS
LLM03,Claude-Sonnet-5,Facil x Dificil,Facil,Dificil,95.0,9.660519008211228e-05,0.0001932103801642,SIGNIFICATIVO
LLM03,Claude-Sonnet-5,Medio x Dificil,Medio,Dificil,95.0,9.660519008211228e-05,0.0001932103801642,SIGNIFICATIVO
